ChasSkelly,145.0,71.0,72,16.0,2.0,0,0
JoachimChristensen,204.0,75.0,72,14.0,4.0,0,0
BojanMihajlovic,135.0,71.0,72,10.0,5.0,0,0
ChicoCamus,135.0,66.0,69,14.0,6.0,0,0
HenryCejudo,125.0,64.0,75,9.0,0.0,0,0
OlivierAubin-Mercier,170.0,69.0,77,8.0,1.0,0,0
TonySims,170.0,71.0,76,12.0,3.0,0,0
KiichiKunimoto,170.0,70.0,73,18.0,7.0,0,0
ZakOttow,170.0,71.0,77,15.0,4.0,0,0
AkiraCorassani,145.0,68.0,75,12.0,3.0,0,0
DustinPoirier,145.0,69.0,73.0,15.0,3.0,0,0
NeilMagny,170.0,75.0,69,11.0,3.0,0,0
RodrigodeLima,170.0,69.0,76,8.0,2.0,0,0
YosdenisCedeno,155.0,68.0,68,9.0,3.0,0,0
ErnestChavez,155.0,68.0,72,7.0,0.0,0,0
JaredCannonier,265.0,75.0,70,10.0,2.0,0,0
AntonioRogerioNogueira,205.0,74.0,75.0,22.0,8.0,0,0
MarkHunt,265.0,70.0,74.0,9.0,8.0,0,0
AntonioSilva,264.0,76.0,82.0,18.0,5.0,0,0
RichardWalsh,170.0,72.0,68,7.0,1.0,0,0
ChrisIndich,170.0,70.0,77,5.0,1.0,0,0
KarlReed,205.0,75.0,74,1.0,0.0,0,0
CameronOlson,205.0,73.0,76,6.0,3.0,0,0
TonyFerguson,155.0,71.0,76.0,21.0,3.0,0,0
EdsonBarboza,155.0,71.0,75.0,16.0,4.0,0,0
JakeCollier,185.0,75.0,77,10.0,4.0,0,0
DevinClark,205.0,72.0,69,8.0,1.0,0,0
MaximoBlanco,145.0,68.0,70,9.0,5.0,0,0
AkiraCorassani,145.0,68.0,72,12.0,3.0,0,0
JohnMoraga,125.0,66.0,69,17.0,6.0,0,0
AshkanMokhtarian,135.0,66.0,67,13.0,2.0,0,0
NoadLahat,145.0,68.0,68,8.0,1.0,0,0
StevenSiler,145.0,71.0,70.0,23.0,13.0,0,0
CharlesOliveira,145.0,70.0,73.0,18.0,4.0,0,0
HatsuHioki,145.0,71.0,73.0,27.0,8.0,0,0
AlIaquinta,155.0,69.0,67,9.0,3.0,0,0
RodrigoDamm,155.0,67.0,71.0,12.0,8.0,0,0
AlejandroPerez,135.0,67.0,74,18.0,6.0,0,0
AlbertMorales,135.0,69.0,67,6.0,0.0,0,0
BobbyGreen,155.0,70.0,72,23.0,6.0,0,0
EdsonBarboza,155.0,71.0,75.0,15.0,2.0,0,0
MatheusNicolau,135.0,66.0,70,11.0,2.0,0,0
BrunoKorea,135.0,66.0,63.0,4.0,2.0,0,0
FrankieEdgar,145.0,66.0,72.0,18.0,4.0,0,0
